raw_salary,min_monthly,max_monthly,annual_months,total_min,total_max,salary_type,parse_flag
13k-23k,13.0,23.0,12,156.0,276.0,月薪,预处理|补全前项k|补全后项k|正常解析
13k-17k·13薪,13.0,17.0,13,169.0,221.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
11k-17k·16薪,11.0,17.0,16,176.0,272.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
20k-25k·13薪,20.0,25.0,13,260.0,325.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
16k-22k·13薪,16.0,22.0,13,208.0,286.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
10k-18k·13薪,10.0,18.0,13,130.0,234.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
13k-26k·13薪,13.0,26.0,13,169.0,338.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
18k-28k·13薪,18.0,28.0,13,234.0,364.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
13k-19k·13薪,13.0,19.0,13,169.0,247.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
11k-13k,11.0,13.0,12,132.0,156.0,月薪,预处理|补全前项k|补全后项k|正常解析
4k-7k·13薪,4.0,7.0,13,52.0,91.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
13k-20k·13薪,13.0,20.0,13,169.0,260.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
11k-15k,11.0,15.0,12,132.0,180.0,月薪,预处理|补全前项k|补全后项k|正常解析
6k-12k·24薪,6.0,12.0,24,144.0,288.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
9k-15k·15薪,9.0,15.0,15,135.0,225.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
15k-21k,15.0,21.0,12,180.0,252.0,月薪,预处理|补全前项k|补全后项k|正常解析
8k-13k·24薪,8.0,13.0,24,192.0,312.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
25k-37k·24薪,25.0,37.0,24,600.0,888.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
15k-30k·21薪,15.0,30.0,21,315.0,630.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
13k-19k,13.0,19.0,12,156.0,228.0,月薪,预处理|补全前项k|补全后项k|正常解析
40k-45k,40.0,45.0,12,480.0,540.0,月薪,预处理|补全前项k|补全后项k|正常解析
40k-50k,40.0,50.0,12,480.0,600.0,月薪,预处理|补全前项k|补全后项k|正常解析
13k-18k,13.0,18.0,12,156.0,216.0,月薪,预处理|补全前项k|补全后项k|正常解析
13k-21k·14薪,13.0,21.0,14,182.0,294.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
42k-83k,42.0,83.0,12,504.0,996.0,月薪,预处理|补全前项k|补全后项k|正常解析
30k-60k·14薪,30.0,60.0,14,420.0,840.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
25k-40k·13薪,25.0,40.0,13,325.0,520.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
11k-18k,11.0,18.0,12,132.0,216.0,月薪,预处理|补全前项k|补全后项k|正常解析
16k-31k,16.0,31.0,12,192.0,372.0,月薪,预处理|补全前项k|补全后项k|正常解析
18k-31k,18.0,31.0,12,216.0,372.0,月薪,预处理|补全前项k|补全后项k|正常解析
